Date,Site,NR_5152a,cluster
2024-02-20 12:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 12:00:00,BOG.Colsubsidio 63,0.0,BOG
2024-02-20 12:00:00,BOG.Armenia-2,22.72222222222222,BOG
2024-02-20 12:00:00,BOG.Rincon Modelia,75.45833333333333,BOG
2024-02-20 12:00:00,BOG.NOC Ortezal,91.42965491088358,BOG
2024-02-20 12:00:00,BOG.Parque Simon Bolivar,52.47982515131137,BOG
2024-02-20 12:00:00,BOG.Gran Estacion-3,82.58590564938847,BOG
2024-02-20 12:00:00,BOG.Gobernacion,98.13888888888889,BOG
2024-02-20 12:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 12:00:00,BOG.Subazar,89.63888888888889,BOG
2024-02-20 12:00:00,BOG.Royal-3,0.0,BOG
2024-02-20 12:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 12:00:00,BOG.Parkway:H2,33.65913255956017,BOG
2024-02-20 12:00:00,BOG.Ingemar,88.59722222222223,BOG
2024-02-20 12:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 12:00:00,BOG.El Lago-2,95.66666666666669,BOG
2024-02-20 12:00:00,BOG.Terminal-2,98.6875,BOG
2024-02-20 13:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 13:00:00,BOG.Royal-3,0.0,BOG
2024-02-20 13:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 13:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 13:00:00,BOG.Federman,92.61805555555556,BOG
2024-02-20 13:00:00,BOG.Parkway:H2,91.533895657607,BOG
2024-02-20 13:00:00,BOG.Colsubsidio 63,0.0,BOG
2024-02-20 13:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 13:00:00,BOG.Salitre Plaza,0.0,BOG
2024-02-20 14:00:00,BOG.Periodistas-2,68.14244465832532,BOG
2024-02-20 14:00:00,BOG.Royal-3,0.0,BOG
2024-02-20 14:00:00,BOG.Retiro-2,93.12037037037037,BOG
2024-02-20 14:00:00,BOG.Subazar-2,97.78703703703704,BOG
2024-02-20 14:00:00,BOG.Barrancas,93.33080712391056,BOG
2024-02-20 14:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 14:00:00,BOG.El Lago-2,94.03986579830274,BOG
2024-02-20 14:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 14:00:00,BOG.Monte Loma,94.22183507549362,BOG
2024-02-20 14:00:00,BOG.Colsubsidio 63,0.0,BOG
2024-02-20 14:00:00,BOG.Santa Ana,97.92592592592592,BOG
2024-02-20 14:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 14:00:00,BOG.Andino-1,97.73148148148148,BOG
2024-02-20 14:00:00,BOG.Sauzalito:H1,45.50027948574623,BOG
2024-02-20 14:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 14:00:00,BOG.Temp Mintic,5.752212389380531,BOG
2024-02-20 14:00:00,BOG.Marly-2,86.43113159242192,BOG
2024-02-20 14:00:00,BOG.Salitre Plaza,0.0,BOG
